pitcher_id,sched_date,Level_Code,sched_id,event_id,pa,ab,1b,2b,3b,hr,bb,so,hit_exit_speed,hit_vertical_angle,pitch_type,play_code
82042,4/4/2025,afa,1256777,39,1,1,0,0,0,0,0,1,NULL,NULL,CU,K
82042,4/4/2025,afa,1256777,44,1,0,0,0,0,0,1,0,NULL,NULL,FF,W
82042,4/4/2025,afa,1256777,45,1,0,0,0,0,0,1,0,NULL,NULL,FF,W.1-2
82042,4/4/2025,afa,1256777,46,1,1,0,0,0,0,0,1,NULL,NULL,CU,K
82042,4/4/2025,afa,1256777,47,1,1,0,0,0,0,0,0,107.2665558,-9.400099754,CH,46(1)/FO/G.2-3
82042,4/4/2025,afa,1256777,48,0,0,0,0,0,0,0,0,NULL,NULL,CU,WP.3-H(NR);1-2
82042,4/4/2025,afa,1256777,49,1,1,0,0,0,0,0,1,NULL,NULL,CH,K
82042,6/15/2025,afa,1256812,100,0,0,0,0,0,0,0,0,NULL,NULL,CH,WP.2-3;1-2
82042,6/15/2025,afa,1256812,101,1,0,0,0,0,0,1,0,NULL,NULL,FT,W
82042,6/15/2025,afa,1256812,102,1,1,1,0,0,0,0,0,69.81522369,0.367567271,CH,S7/G.3-H(UR);2-3;1-2
82042,6/12/2025,afa,1256815,67,1,1,0,0,0,0,0,0,94.43309784,-8.27532959,FF,63/G
82042,6/12/2025,afa,1256815,73,1,1,0,0,0,0,0,0,94.61212158,-6.592854977,FT,43/G
82042,6/12/2025,afa,1256815,74,1,1,0,1,0,0,0,0,96.08686066,22.75746155,CU,D9/F
82042,6/12/2025,afa,1256815,75,1,1,0,0,0,0,0,1,NULL,NULL,FC,K
82042,6/12/2025,afa,1256815,76,1,1,0,0,0,0,0,0,91.33177185,-20.57264709,CU,63/G
82042,6/12/2025,afa,1256815,81,1,1,0,0,0,0,0,0,85.95557404,0.53928566,FT,63/G
82042,6/12/2025,afa,1256815,82,1,1,0,0,0,0,0,1,NULL,NULL,FF,K
82042,6/12/2025,afa,1256815,83,1,1,0,0,0,0,0,0,76.36062622,69.76760101,FC,5/P
82042,5/17/2025,afa,1256894,42,1,1,1,0,0,0,0,0,95.45653534,7.462539673,FT,S9/G+
82042,5/17/2025,afa,1256894,43,1,1,1,0,0,0,0,0,67.15166473,36.23786926,FC,S6/P.1-2
82042,5/17/2025,afa,1256894,44,1,0,0,0,0,0,0,0,NULL,NULL,CU,HBP.2-3;1-2
82042,5/17/2025,afa,1256894,45,1,1,0,0,0,0,0,1,NULL,NULL,CU,K
82042,5/17/2025,afa,1256894,46,1,1,0,0,0,0,0,1,NULL,NULL,CU,K
82042,5/17/2025,afa,1256894,47,1,1,0,1,0,0,0,0,76.78200531,30.51882744,FF,D7/L.3-H;2-H;1-H
82042,5/17/2025,afa,1256894,48,1,1,0,0,0,0,0,1,NULL,NULL,CU,K
82042,5/17/2025,afa,1256894,53,1,1,0,0,0,0,0,0,101.003746,2.218610287,FF,63/G
82042,5/17/2025,afa,1256894,54,1,1,0,0,0,0,0,1,NULL,NULL,CU,K
82042,5/17/2025,afa,1256894,55,1,1,0,0,0,0,0,0,100.6926498,-21.34959602,FF,63/G
82042,5/17/2025,afa,1256894,60,1,1,1,0,0,0,0,0,90.73883057,-12.97460747,FC,S39/G
82042,5/17/2025,afa,1256894,61,1,1,0,0,0,0,0,0,96.26206207,16.14053154,CU,9/L
82042,5/17/2025,afa,1256894,62,1,1,0,0,0,0,0,1,NULL,NULL,CH,K
82042,5/17/2025,afa,1256894,63,1,1,0,0,0,0,0,1,NULL,NULL,CU,K
82042,6/8/2025,afa,1256947,98,1,1,1,0,0,0,0,0,70.11613464,22.26441956,CU,S7/L.3-H;2-H;1-3
82042,6/8/2025,afa,1256947,99,1,1,1,0,0,0,0,0,110.2531967,-8.886639595,FF,S8/G.3-H;1-2
82042,6/8/2025,afa,1256947,100,0,0,0,0,0,0,0,0,NULL,NULL,CU,WP.2-3;1-2
82042,6/8/2025,afa,1256947,101,1,1,0,0,0,0,0,1,NULL,NULL,CU,K
82042,6/8/2025,afa,1256947,102,1,1,0,0,0,0,0,0,87.64267731,36.60154343,FT,7/F
82042,6/5/2025,afa,1256949,48,1,1,0,0,0,0,0,0,52.13283539,-57.79201508,FT,13/G-
82042,6/5/2025,afa,1256949,49,1,1,0,0,0,0,0,0,90.39277649,51.50796509,FT,7/F
82042,6/5/2025,afa,1256949,50,1,0,0,0,0,0,1,0,NULL,NULL,CU,W
82042,6/5/2025,afa,1256949,51,0,0,0,0,0,0,0,0,NULL,NULL,FT,WP.1-2
82042,6/5/2025,afa,1256949,52,1,1,0,0,0,0,0,0,50.29659653,-59.83586502,FT,53/G-
82042,6/5/2025,afa,1256949,59,1,1,0,0,0,0,0,0,91.94872284,2.818131208,FT,63/G
82042,6/5/2025,afa,1256949,60,1,1,0,0,0,0,0,0,99.88389587,1.794988155,CU,63/G
82042,6/5/2025,afa,1256949,61,1,1,0,0,0,0,0,1,NULL,NULL,CU,K
82042,6/5/2025,afa,1256949,66,1,1,0,0,0,0,0,1,NULL,NULL,CU,K
82042,6/5/2025,afa,1256949,67,1,1,0,0,0,0,0,0,91.25344849,-11.89070606,FF,63/G
82042,6/5/2025,afa,1256949,68,1,1,0,0,0,0,0,1,NULL,NULL,CU,K
82042,5/22/2025,afa,1256957,44,1,1,0,0,0,0,0,1,NULL,NULL,CU,K
